Term,Weight
visual,1.88634273493
emotional,0.918727576858
memory,0.845090880613
novel,0.615948670986
reward,0.576465162267
motor,0.521466046281
self,0.508763598191
faces,0.472019732446
learning,0.466963592001
face,0.450471423193
schizophrenia,0.445591225334
attention,0.411407933898
spatial,0.404533753192
encoding,0.403618761202
social,0.382682497549
risk,0.345447733966
retrieval,0.345301642548
knowledge,0.308555338951
person,0.302483579913
language,0.290893980257
stimulation,0.281846976813
emotion,0.280432606573
future,0.278652174477
women,0.277183265481
wm,0.275152687918
affective,0.273476794841
semantic,0.271363552665
decision,0.263257195557
sensory,0.261453695571
number,0.257677986941
mental,0.25354201086
recognition,0.247424579455
intrinsic,0.246805228946
words,0.246039257443
auditory,0.242822921761
pictures,0.242018771346
target,0.241709568244
value,0.237537785966
fear,0.236089021608
goal,0.234471947533
perspective,0.232239613248
speech,0.229750908277
importance,0.225771948341
scale,0.224910425216
reading,0.223519222789
cues,0.222645351559
perception,0.220841804333
presence,0.219036855527
bias,0.218222860166
perceptual,0.216055287579
affect,0.213371128791
working_memory,0.211367467082
verbal,0.209320323064
blind,0.206882368136
outcome,0.20591589697
unique,0.204685322482
judgments,0.204339161561
depression,0.202994205771
report,0.20161685356
view,0.200975410643
identification,0.196702516276
experience,0.196244728301
explored,0.195282368044
pain,0.194611778955
stress,0.191878942118
default_mode_network,0.190223453347
major,0.190185555084
default,0.186129485701
word,0.185022674618
novelty,0.184920327269
subsequent,0.183815318894
core,0.183746017355
loss,0.183601591115
contexts,0.182328895197
regulation,0.180436346106
predict,0.179336866194
scan,0.1793286707
spontaneous,0.176902686923
cognitive_control,0.175635923979
placebo,0.17463360224
relationships,0.174329824562
personality,0.170574337522
personal,0.169854958629
relation,0.16971969861
explore,0.167381298946
issue,0.16694147629
influences,0.166514872165
adhd,0.165986789659
choice,0.163469753223
asd,0.163079213699
focused,0.1618328352
sex,0.15856132873
ratings,0.157547512938
duration,0.157245701064
involves,0.153007154987
action,0.15234116508
