Term,Weight
visual,5900.64315674
motor,3839.57847027
emotional,3665.76522599
memory,3476.68780327
attention,2931.35742071
auditory,2267.84005595
reward,2107.44133382
spatial,2072.7417722
schizophrenia,2070.15732612
language,2057.73128164
learning,1945.42102484
self,1875.49161521
novel,1863.83232457
speech,1848.90599648
retrieval,1835.51173999
face,1804.4852703
faces,1775.65157245
social,1755.98388805
semantic,1692.39712752
working_memory,1672.99965726
words,1669.18290459
perception,1631.79817555
encoding,1603.54542793
number,1579.34610897
recognition,1458.28150185
stimulation,1402.8009304
decision,1401.30504771
sensory,1377.52392803
pain,1353.54531962
action,1337.18737971
risk,1333.70509325
perceptual,1325.68063396
emotion,1310.44705888
affective,1279.31967011
cues,1260.57734691
word,1250.19857775
verbal,1230.23869895
default,1220.75540658
experience,1161.7509766
target,1161.36255295
attentional,1138.78514901
wm,1136.47737423
knowledge,1119.32968761
women,1096.57969205
motion,1063.26989028
cognitive_control,1059.87718627
reading,1013.2231618
goal,983.864353562
pictures,979.169155406
default_mode_network,973.701397201
person,961.999245175
demands,954.193614811
fear,952.031147428
actions,945.966497055
intrinsic,940.756384595
bias,928.296983863
judgments,920.440963707
monitoring,900.93695402
value,891.8911655
affect,886.329251566
scale,881.299134075
future,872.616571436
mental,863.220262029
error,858.083009255
body,853.006010106
somatosensory,843.665442648
inhibition,826.834788931
subsequent,822.640679441
cue,803.037750421
depression,801.399810123
major,790.834353573
regulation,790.35877615
presence,785.20430053
report,780.590974917
core,775.252158141
focused,772.767721395
relationships,759.244284906
outcome,751.238373361
question,746.406767369
importance,739.384787771
duration,738.751703408
choice,733.979108684
movements,728.721793306
stress,716.752293166
placebo,711.753073755
view,708.567882276
adhd,707.875042511
explore,705.654979708
subjective,705.412604885
movement,701.488407755
automatic,693.82029554
loss,692.539009218
anticipation,690.528781553
decisions,687.025125365
relation,683.56378926
reveal,681.681525701
sentences,681.054342931
intensity,672.462583154
conflict,666.708558696
behavioural,666.222149733
location,665.310500098
executive,665.252718563
load,664.402680119
line,653.484477744
personality,651.679060853
perspective,649.658967088
issue,647.118575777
bpd,646.999221199
explored,646.979896041
sensorimotor,645.161246279
training,643.21546388
involves,639.609413846
evaluation,639.033986929
spontaneous,637.66017488
empathy,634.447876599
mentalizing,632.698014753
identification,632.208092546
directed,630.668620894
predict,630.520232137
ratings,630.331205716
various,629.362986352
complexity,628.053314217
judgment,626.185515596
asd,620.311052467
sex,618.762190845
errors,616.519214351
aging,609.488446679
coupling,605.402191249
reasoning,603.926488968
factor,599.177024385
influences,598.55673884
comprehension,593.609582444
selection,592.016229151
outcomes,591.283163694
feedback,588.317965815
selectively,584.24262582
nature,582.761116299
picture,581.677630048
global,581.669556985
adult,581.400516928
salience,581.148896599
free,575.774928391
conjunction,569.906510167
male,569.036092233
seed,568.199453751
unique,567.714963163
aversive,559.888762748
autism,559.729043142
physical,559.465890295
strategies,556.059418316
music,555.161725051
perceived,551.360775264
address,550.774976993
situations,550.439504392
delay,546.870193538
scenes,546.620853696
size,540.713272654
block,540.155746831
ptsd,539.546983652
mid,537.036483203
discrimination,535.588470879
viewed,533.863105682
bipolar,533.315655945
severity,531.951805152
input,528.796633438
emotions,527.274537004
generation,527.128120973
items,526.068735761
reflected,525.820060702
evaluated,525.424111067
values,525.104697159
correct,523.986567872
pathway,523.350691344
female,519.603089662
deficit,514.6972598
matching,514.359739901
manipulation,513.322080393
mdd,512.963080061
behaviors,511.92247105
naming,510.496665358
mood,506.057605006
imagery,505.929431106
impairments,505.794992449
sustained,504.769023317
ad,504.490792351
category,503.886685707
anxiety,503.124477442
linguistic,503.030103169
taking,502.546104408
taste,502.519466183
recall,502.465054391
viewing,502.181038913
phonological,501.448233952
characteristics,499.128831468
sequence,496.919033252
switching,496.154068796
status,494.112399791
direction,492.585160114
abstract,490.690608729
sounds,489.608263616
focus,489.119502457
conclusion,488.649661874
towards,488.510485444
environment,488.226339526
arousal,487.035341987
gaze,484.221849615
generated,482.913847201
trait,481.239495658
associative,480.188488161
interference,478.906817648
modulate,478.502781796
exhibit,477.286641072
tactile,476.827981826
moral,475.143185429
engagement,473.218070455
explicit,473.13996413
learned,471.802608744
influenced,470.875193102
voice,470.790483905
mind,468.96022873
regardless,468.855628921
color,468.763416137
five,468.374267106
stage,466.703528452
episodic,465.435830638
maintenance,463.746864438
tests,461.647607381
communication,458.548956216
compensatory,456.503143324
regression,456.065103809
females,454.841353173
examining,454.37288842
scan,453.707335079
response_inhibition,453.29193391
implicit,452.169800304
awareness,450.762528215
contributions,450.061276065
completed,449.534316084
amount,449.399879288
adaptation,449.232369582
reflects,448.913294046
eye,448.499376199
basic,447.900833292
flow,446.018907277
targets,443.759784064
sleep,443.60588585
shared,443.133804485
familiar,441.329919373
males,441.159065001
ocd,440.960598134
gestures,440.934399737
experiences,440.874961337
sequences,440.64830679
variation,440.216237295
olfactory,437.733845799
stages,437.54593004
mediate,436.447730396
past,435.596210371
opposite,435.564285667
execution,434.902296255
roles,434.760951395
respond,434.759970556
repeated,434.071642364
