Term,Weight
default,11.2336072312
default_mode_network,9.22494667383
intrinsic,7.49403548811
scale,6.23568583948
self,5.0814671252
person,4.97747249978
reward,4.77982092505
bias,4.56793106036
judgments,4.27939951834
contexts,4.2705577563
bpd,4.17926483136
spontaneous,4.1526815079
default_mode,3.84117837767
issue,3.61088498948
importance,3.50655946531
seed,3.50577016944
ratings,3.25293970944
presence,3.02279666279
weaker,2.68176703134
mentalizing,2.64917537119
value,2.6148117437
schizophrenia,2.54709373769
variations,2.53678621921
moral,2.52730478458
decision,2.49202174164
examining,2.47455965828
deactivations,2.37908948856
personal,2.35275239735
mental_states,2.34613864811
outcome,2.26397048689
situation,2.19922345277
evaluation,2.1620147538
exhibit,2.15094708914
highlight,2.12276291742
knowledge,2.102604471
appraisals,2.09234383739
perspective,2.08351583204
positivity,2.06503165548
population,2.01163662849
failure,1.99178581439
personality,1.96076914529
status,1.9577195401
question,1.89807590957
factor,1.87881500838
report,1.83935049197
explored,1.83884023642
address,1.83830283681
social,1.83100595758
inversely,1.82446755134
mind,1.76926969277
behaviour,1.76604017761
rating,1.76507465881
unique,1.75073170796
future,1.74805933446
poles,1.69368568088
outcomes,1.68208840093
poorer,1.67899535314
judgment,1.66063280931
depression,1.65830920142
social_cognition,1.64082640792
choice,1.63600533447
participant,1.62031941125
deactivated,1.61735757725
explicitly,1.6083796525
issues,1.59454493777
perceivers,1.57784591599
typical,1.55297209208
humor,1.53694351753
theory_of_mind,1.53352723589
phobia,1.52365932012
rated,1.51447191069
memories,1.51403251474
major,1.50878445905
subjective,1.50773745852
frequently,1.50106981336
neurocognitive,1.48722148735
daily,1.48422265192
beyond,1.48016991975
emerging,1.46027187796
cr,1.45797723785
mood,1.45735596367
decision_making,1.45044704544
neurobiology,1.44427913021
se,1.43682420689
free,1.40088042991
differentiation,1.39343786056
identification,1.3825844809
demanding,1.36640392653
mental_state,1.35721644415
salience_network,1.35296194529
laughter,1.3287918951
comprising,1.32070324873
regulation,1.31139214464
marker,1.3039451745
voice,1.29599205974
clarify,1.28658133511
psychological,1.27580328091
affective,1.23888274193
normally,1.23253689529
scales,1.22549697072
studying,1.22435536824
predict,1.20363947787
various,1.20247511925
considering,1.18875613018
involves,1.18567571675
episodic,1.1844653021
ts,1.18029310176
emotional,1.17988635531
ccn,1.1725055516
phobic,1.16322378203
alteration,1.15725179561
contributions,1.15705112345
elevated,1.14105016481
decisions,1.12572103808
substrate,1.12198695001
vigilance,1.11481640562
useful,1.09902336024
impression,1.09812410178
judged,1.08884723112
mdd,1.08757245925
flow,1.08265832669
feeling,1.08230495806
intrinsically,1.06433051814
prospective_memory,1.06421079051
uncover,1.05967566085
nevertheless,1.04782426017
fail,1.04399669152
exploring,1.04339423542
severity,1.04139542331
striking,1.03901105044
forming,1.03782835395
contained,1.03460090382
risk,1.03223331988
subsystems,1.01855174431
salience,1.01343390703
error,1.0089128498
opposite,0.997655525161
trend,0.996702302539
rewards,0.994677033809
anti,0.994650770573
encompassing,0.99316161812
adult,0.980712565847
sv,0.979083278611
political,0.974667951883
borderline,0.964445730314
susceptibility,0.962617185776
lg,0.957118186907
infer,0.95286873492
errors,0.952765383444
assessing,0.929362317822
circumstances,0.927618842828
relation,0.919084865272
traits,0.91793358991
spider,0.917472278782
optimal,0.913426632428
complexity,0.91182615146
coherent,0.905450910047
moderate,0.901992557533
preferences,0.899260744526
mediate,0.898507184868
regulating,0.896411948125
stress,0.895716540194
dysregulation,0.883242436906
observations,0.882784019711
inferences,0.88095732726
describing,0.879022926942
social_interaction,0.873705746555
existence,0.872700822703
targeted,0.862343784301
emphasizes,0.861447654587
focused,0.857606980179
autobiographical,0.854250144938
tailored,0.853790016563
regression,0.851642401889
served,0.849029635955
polar,0.841959818218
answering,0.836981622259
concept,0.834731173149
assigned,0.833405342097
experiences,0.826709766758
relate,0.823752530437
scan,0.822859866829
constraints,0.822014325138
placebo,0.818346576259
progressive,0.816771275291
thirty,0.814525076589
